station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
41160,Clinton-Lake,2/1/2001,1810.2,405.3,244.8,38803
41120,35-Bronzeville-IIT,2/1/2001,1928.2,1015,689.5,45382
40300,Indiana,2/1/2001,595.8,343.8,237,14239
41270,43rd,2/1/2001,797.5,449.3,296.5,18933
41080,47th-South Elevated,2/1/2001,1293.5,818.3,519,31218
40130,51st,2/1/2001,1144.3,728.8,483.3,27733
40510,Garfield-South Elevated,2/1/2001,743.4,487.3,321.3,18102
41140,King Drive,2/1/2001,735.2,435,240.8,17406
40720,East 63rd-Cottage Grove,2/1/2001,1405.1,722.8,495.8,32976
40940,Halsted/63rd,2/1/2001,741.9,494.3,319.5,18093
40290,Ashland/63rd,2/1/2001,1770.4,943,686.8,41927
41290,Kimball,2/1/2001,4139.9,2143,1197,96157
41180,Kedzie-Brown,2/1/2001,1486.9,886.8,584.5,35622
40870,Francisco,2/1/2001,1078.8,426.5,231.3,24207
41010,Rockwell,2/1/2001,1279.8,496.8,309.3,28820
41480,Western-Brown,2/1/2001,3399.6,1604.8,920.8,78094
40090,Damen-Brown,2/1/2001,2095.4,962,556.3,47980
41500,Montrose-Brown,2/1/2001,2025.3,887.3,487.5,46004
41460,Irving Park-Brown,2/1/2001,2299.5,838.3,474.3,51239
41440,Addison-Brown,2/1/2001,1800.5,575.8,299.8,39512
41310,Paulina,2/1/2001,2021,876.5,569.5,46204
40360,Southport,2/1/2001,2608.6,945.8,548.8,58149
41210,Wellington,2/1/2001,2430.6,728.3,366.8,52992
40530,Diversey,2/1/2001,4270.7,1723.8,924.8,96008
40660,Armitage,2/1/2001,3394.6,942.5,477.5,73572
40800,Sedgwick,2/1/2001,2134.7,868.5,503,48179
40710,Chicago/Franklin,2/1/2001,4084.8,1404.5,668.8,89988
40460,Merchandise Mart,2/1/2001,6025,956,289,125479
40930,Midway Airport,2/1/2001,7702.5,2466.5,2075.3,172216
40960,Pulaski-Orange,2/1/2001,5335.4,1237,670.8,114338
41150,Kedzie-Midway,2/1/2001,2991.3,1087,611.3,66619
40310,Western-Orange,2/1/2001,3314.5,1007.3,561.5,72565
40120,35th/Archer,2/1/2001,2106.7,671.5,353,46232
41060,Ashland-Orange,2/1/2001,1316.3,531.8,311,29697
41130,Halsted-Orange,2/1/2001,2500.2,694.8,443.3,54555
40730,Washington/Wells,2/1/2001,7188.8,711.5,370.3,148103
40040,Quincy/Wells,2/1/2001,7766.4,911.8,523.8,161069
40160,LaSalle/Van Buren,2/1/2001,3603,272,128.3,73661
40850,Library,2/1/2001,2534.2,755,334.3,55040
40680,Adams/Wabash,2/1/2001,7185.7,2301.8,1141.8,157488
40640,Madison/Wabash,2/1/2001,3886.5,1237.3,466.5,84545
40200,Randolph/Wabash,2/1/2001,5695.2,1923,981.3,125521
40260,State/Lake,2/1/2001,8397.4,3733,2513.5,192934
40380,Clark/Lake,2/1/2001,15290.2,2425,1677.3,322212
40900,Howard,3/1/2001,6435.6,3975.4,2594,171836
41190,Jarvis,3/1/2001,1509,1110,762.5,41797
40100,Morse,3/1/2001,4521.9,3159.4,2229,124194
41300,Loyola,3/1/2001,4899.3,3447.6,2158.8,133657
40760,Granville,3/1/2001,3339.8,2398.6,1673.3,92161
40880,Thorndale,3/1/2001,3089.5,1887,1363.8,82860
41380,Bryn Mawr,3/1/2001,4580.6,2913.4,2061.5,123586
40340,Berwyn,3/1/2001,3402.8,2226.8,1579.3,92312
41200,Argyle,3/1/2001,2823.9,1905.2,1360.3,77093
40770,Lawrence,3/1/2001,2811.4,1976.6,1523.5,77828
40540,Wilson,3/1/2001,5427,3445,2106.8,145046
40080,Sheridan,3/1/2001,4511,2971.2,1802.3,121307
41420,Addison-North Main,3/1/2001,5102.2,3785.6,2336,140520
41320,Belmont-North Main,3/1/2001,9581.4,7888.8,4878,269746
41220,Fullerton,3/1/2001,9921.6,6034.6,3614,262905
40650,North/Clybourn,3/1/2001,3661.2,2882.6,1992.3,102929
40630,Clark/Division,3/1/2001,6902.9,5401,3623.8,193363
41450,Chicago/State,3/1/2001,12810.8,9963.8,6284,356793
40330,Grand/State,3/1/2001,8937.6,6631.6,4204.3,246602
41660,Lake/State,3/1/2001,13990.4,6586.8,4062,356970
40500,Washington/State,3/1/2001,7293.7,3003.6,1585.5,181822
41090,Monroe/State,3/1/2001,7587.1,3152.2,1492.8,188649
40560,Jackson/State,3/1/2001,11979.2,4664.8,2398,296458
41490,Harrison,3/1/2001,2874.8,1642.6,846.5,74845
41400,Roosevelt,3/1/2001,6143,3698.6,2757.8,164671
41000,Cermak-Chinatown,3/1/2001,2633.5,2649,1795,78362
40190,Sox-35th-Dan Ryan,3/1/2001,3588.5,2328.2,1610.8,97030
41230,47th-Dan Ryan,3/1/2001,2388.6,1691.6,1221.5,65894
41170,Garfield-Dan Ryan,3/1/2001,4753.2,3204.8,2019.5,128672
40910,63rd-Dan Ryan,3/1/2001,3701.5,2511.6,1933.5,101724
40990,69th,3/1/2001,6870,4546.4,3027.8,185984
40240,79th,3/1/2001,7446.4,4871.6,3328.8,201493
41430,87th,3/1/2001,5526.5,3465.6,2174.8,147611
40450,95th/Dan Ryan,3/1/2001,14521.9,7686.8,5239.8,378875
41050,Linden,3/1/2001,1094.5,491,265.8,27596
41250,Central-Evanston,3/1/2001,936.2,436,266.5,23843
40400,Noyes,3/1/2001,567.4,422.6,193,15367
40520,Foster,3/1/2001,661.3,377.6,215,17296
40050,Davis,3/1/2001,3488.7,2501.8,1408.8,94895
40690,Dempster,3/1/2001,667.3,442.6,306.3,18118
40270,Main,3/1/2001,1200.6,740.6,404,31733
40840,South Boulevard,3/1/2001,831.8,434.6,230.3,21394
40140,Dempster-Skokie,3/1/2001,2502.9,0,0,55064
40890,O'Hare Airport,3/1/2001,8213.3,6472.8,6829,240372
40820,Rosemont,3/1/2001,5225.5,2027,1318.3,130368
40230,Cumberland,3/1/2001,4773.5,1990.8,1131.5,119498
40750,Harlem-O'Hare,3/1/2001,2712.9,1227.8,660.5,68465
41280,Jefferson Park,3/1/2001,6709.9,2904.6,1933.8,169875
41330,Montrose-O'Hare,3/1/2001,1995.1,811,533.5,50082
40550,Irving Park-O'Hare,3/1/2001,3704.4,1694.2,1117,94436
41240,Addison-O'Hare,3/1/2001,2540.5,894,565.5,62624
40060,Belmont-O'Hare,3/1/2001,4562.8,2232.2,1552.5,117753
41020,Logan Square,3/1/2001,4664.9,2273.8,1382.3,119525
40570,California/Milwaukee,3/1/2001,2957.7,1370.8,860.8,75366
40670,Western/Milwaukee,3/1/2001,2913,1100.2,742.3,72555
40590,Damen/Milwaukee,3/1/2001,4253.1,1928.6,1264.3,108269
40320,Division/Milwaukee,3/1/2001,4495.3,2135.2,1350,114972
41410,Chicago/Milwaukee,3/1/2001,2229,773,458.5,54738
40490,Grand/Milwaukee,3/1/2001,1229.2,573.8,326.3,31217
40370,Washington/Dearborn,3/1/2001,9148.2,2637.8,1364.5,219907
40790,Monroe/Dearborn,3/1/2001,5987.7,1304,654.5,140867
40070,Jackson/Dearborn,3/1/2001,7562.1,2407.2,1175.5,183105
41340,LaSalle,3/1/2001,2292.6,447.4,239.5,53632
40430,Clinton-Forest Park,3/1/2001,2310,821.6,666,57591
40350,UIC-Halsted,3/1/2001,3825.9,1149.2,606.5,92342
40470,Racine,3/1/2001,2249.8,968,543.3,56509
40810,Medical Center,3/1/2001,1987.8,1051.8,688.5,51744
40220,Western-Forest Park,3/1/2001,1009,685.2,475,27525
40250,Kedzie-Homan-Forest Park,3/1/2001,1371.1,939.4,570.5,37143
40920,Pulaski-Forest Park,3/1/2001,1222.4,913.6,636.3,34005
40970,Cicero-Forest Park,3/1/2001,1042,739.2,480.3,28542
40010,Austin-Forest Park,3/1/2001,1558.5,731,408.5,39576
40180,Oak Park-Forest Park,3/1/2001,1428.5,487.8,236,34810
40980,Harlem-Forest Park,3/1/2001,805.6,435,257.5,20928
40390,Forest Park,3/1/2001,3557.2,1319.8,778.8,87973
41030,Polk,3/1/2001,2358.1,9.8,0,51927
40830,18th,3/1/2001,999.7,1,0,21998
40210,Damen-Cermak,3/1/2001,689.2,1.6,0,15170
40740,Western-Cermak,3/1/2001,561,2.8,0,12355
40440,California-Cermak,3/1/2001,780.4,1.4,0,17176
41040,Kedzie-Cermak,3/1/2001,443,1.4,0,9752
40780,Central Park,3/1/2001,459.2,1.4,0,10110
40150,Pulaski-Cermak,3/1/2001,472.5,1.4,0,10402
40600,Kostner,3/1/2001,301,0.6,0,6624
40420,Cicero-Cermak,3/1/2001,883.8,4.2,0,19464
40580,54th/Cermak,3/1/2001,1610.1,2.2,0,35433
40020,Harlem-Lake,3/1/2001,3319.5,1848.2,983,86201
41350,Oak Park-Lake,3/1/2001,1430.8,641.6,367.5,36155
40610,Ridgeland,3/1/2001,1287.4,446,219.8,31431
41260,Austin-Lake,3/1/2001,1788.7,860.8,496.5,45641
40280,Central-Lake,3/1/2001,2450,1372,821.3,64045
40700,Laramie,3/1/2001,1336.4,700.8,420.5,34586
40480,Cicero-Lake,3/1/2001,1339.1,742.6,484,35110
40030,Pulaski-Lake,3/1/2001,1577.7,961.8,627,42027
41070,Kedzie-Lake,3/1/2001,1285.8,687,433.3,33456
41360,California-Lake,3/1/2001,829,439.6,284,21573
40170,Ashland-Lake,3/1/2001,1511.9,603.4,363.5,37733
41160,Clinton-Lake,3/1/2001,1881.2,469.6,291.3,44899
41120,35-Bronzeville-IIT,3/1/2001,1952.1,1063,691,51026
40300,Indiana,3/1/2001,604,354.8,241.8,16028
41270,43rd,3/1/2001,816.5,475.8,291.3,21508
